"","subjNum","rxnTime","responses","timedOut","noMemory","Scene.File","Category","CatNum","ImNum","Face.File","Condition","Version","Subject.Repetition"
"5","001",66806.6000000015,"a swamp. There was algae in the water and a stump or a branch in the right hand corner of the image.",0,"false","fMRI Images/outdoor_14_17.jpg","Pond",14,17,"Face Stimuli/face_3.jpg","Baseline",1,1
"6","001",76462.299999997,"a library. There was a wooden ceiling with small circular lights in it. The library had 3 book cases in the forefront of the photo",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_5.jpg","Baseline",1,1
"1","001",46086.599999994,"a hotel pool. There were numbers indicating how deep the water was, labeled in blue paint. The deepest it went was 8 ft deep",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_6.jpg","Baseline",1,1
"2","001",48798.8999999985,"a city. there was a sign of sorts on the right edge of the photo and a crosswalk right behind the sign.",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_8.jpg","Baseline",1,1
"3","001",53839,"an ice skating rink. There were several people ice skating in the photo. There was a USA olympic flag in the very back of the rink as well",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_9.jpg","Baseline",1,1
"4","001",81886.799999997,"a soccer stadium. There were goals on either side of the field and the game had not started yet because there were no players on the field. There was also a wired bar connecting the two sides of the stadium",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_13.jpg","Baseline",1,1
"21","002",63390.200000003,"A light colored different pool with chairs in the background",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_3.jpg","Competitive",1,1
"61","002",38830.700000003,"A dark colored pool with circular hanging lights above it.",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_5.jpg","Competitive",1,1
"31","002",54478.8000000045,"A light colored pool with the height of the water painted on pillars behind it.",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_6.jpg","Competitive",1,1
"51","002",35374.6999999955,"A pool with a window above it that had dark panels.",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_8.jpg","Competitive",1,1
